Site,StudyID,SF Age,Dist1,Dist2,PFCont,PF.SR,PF.SSR,PF.Fric,PF.Feve,PF.Fdiv,SF.SR,SF.SSR,SF.Fric,SF.Feve,SF.Fdiv,Prop.SR,Prop.SSR,Prop.Fric,Prop.Feve,Prop.Fdiv
32,12,16.5,CC,Y,Yes,178,16,49.42481049,0.078321006,0.895726535,125,14,40.71472507,0.095084523,0.893785496,7.8125,0.875,0.82377099,1.214036032,0.997833001
34,13,17.5,AR,N,,125,12,20.99860826,0.081300813,0.832874004,140,14,32.42694287,0.086956522,0.853949707,11.66666667,1.166666667,1.544242479,1.069565217,1.025304791
40,15,50,PL,N,No,17,9,3.090467195,0.39415142,0.904652672,21,11,25.93936827,0.325504416,0.88817822,2.333333333,1.222222222,8.393348525,0.825835958,0.981789197
42,16,5,PL,N,Yes,15,9,15.63038304,0.50819238,0.842392886,15,10,20.54553793,0.516794659,0.839339674,1.666666667,1.111111111,1.314461576,1.01692721,0.996375549
52,20,13,AR,N,Yes,59,11,19.05561783,0.157894737,0.888634548,77,11,20.37017605,0.12,0.858124445,7,1,1.068985337,0.76,0.96566631
56,22,10,AR,N,,18,5,0.07149722,0.1875,0.762669706,18,5,0.07149722,0.1875,0.750916335,3.6,1,1,1,0.984589173
57,22,30,AR,N,,18,5,0.07149722,0.1875,0.762669706,18,5,0.07149722,0.1875,0.751000394,3.6,1,1,1,0.98469939
61,24,20,SB,Y,Yes,84,15,62.97689292,0.151637127,0.916673169,59,14,52.04364502,0.139495215,0.888000032,3.933333333,0.933333333,0.826392707,0.919927842,0.968720435
63,25,50,AR,N,Yes,60,8,9.542077422,0.103448276,0.813478589,46,7,7.015238708,0.113636364,0.852673996,5.75,0.875,0.735189875,1.098484848,1.048182469
67,27,5,PL,N,Yes,47,13,46.85458856,0.167496029,0.944475675,32,10,24.06051655,0.217972101,0.948796595,2.461538462,0.769230769,0.513514627,1.301356827,1.00457494
68,27,15,PL,N,Yes,47,13,46.85458856,0.167496029,0.944475675,27,8,13.207409,0.24,0.930616897,2.076923077,0.615384615,0.281880802,1.432869789,0.985326485
70,28,4,FI,Y,Yes,153,15,43.59164443,0.086092715,0.88452255,124,13,38.53349509,0.090163934,0.900667108,8.266666667,0.866666667,0.883965164,1.047288777,1.018252286
72,29,50,AR,N,,104,16,48.81681487,0.12419056,0.879857876,118,15,39.8390694,0.101552408,0.870988775,7.375,0.9375,0.816093174,0.817714391,0.989919848
74,30,17.5,PA,Y,Yes,63,9,13.37096236,0.114754098,0.807477867,37,7,2.207476568,0.142857143,0.779764338,4.111111111,0.777777778,0.165094816,1.244897959,0.9656789
75,30,17.5,PA,Y,No,63,9,13.37096236,0.114754098,0.807477867,23,6,0.882990627,0.19047619,0.778076258,2.555555556,0.666666667,0.066037926,1.659863946,0.96358834
76,30,40,PA,Y,No,63,9,13.37096236,0.114754098,0.807477867,56,9,13.37096236,0.12962963,0.816106593,6.222222222,1,1,1.12962963,1.010686021
78,31,17.5,PA,Y,Yes,50,6,5.414691614,0.083333333,0.747695059,68,10,16.69038284,0.121212121,0.835194888,11.33333333,1.666666667,3.082425378,1.454545455,1.117026089
82,33,4,CC,Y,Yes,52,13,21.63602438,0.19844473,0.810366059,35,10,17.60769055,0.176888788,0.895670948,2.692307692,0.769230769,0.813813584,0.891375588,1.105267106
83,33,3.5,CC,Y,No,52,13,21.63602438,0.19844473,0.810366059,16,6,5.281624901,0.245101045,0.845529411,1.230769231,0.461538462,0.244112542,1.23510987,1.043391937
84,33,5.5,CC,Y,No,52,13,21.63602438,0.19844473,0.810366059,32,9,13.42771916,0.187375916,0.833377129,2.461538462,0.692307692,0.6206186,0.94422218,1.028395896
86,34,14,AR,N,No,32,11,29.03826865,0.3,0.851019802,31,11,29.03826865,0.310344828,0.863855357,2.818181818,1,1,1.034482759,1.015082558
87,34,5,AR,N,No,32,11,29.03826865,0.3,0.851019802,31,11,29.03826865,0.310344828,0.875559083,2.818181818,1,1,1.034482759,1.028835147
